Song,Artist,ID
Pop Style,Drake featuring The Throne,23NWj2izXAJ4yL6Nah73wf
When We Were Young,Adele,7IWkJwX9C0J7tHurTD7ViL
Hide Away,Daya,0uyZ5ckiIUbFZd3P6RWmrj
Lean On,Major Lazer and DJ Snake featuring MØ,5wldXGLEOoRXxMWJ8rIUWE
I Know What You Did Last Summer,Shawn Mendes and Camila Cabello,2GyA33q5rti5IxkMQemRDH
All the Way Up,"Fat Joe, Remy Ma and Jay Z featuring French Montana and Infared",61QSuw5VlC0LTS8WMO356g
Watch Me,Silentó,5RIVoVdkDLEygELLCniZFr
Back to Sleep,Chris Brown,6dlpABcXrQKRU9G00i6Zba
No Limit,Usher featuring Young Thug,4DRDMf5vftalExCy0fHbHl
Cut It,O.T. Genasis featuring Young Dolph,376KnY4TrgBITxjlnbnmIy
Really Really,Kevin Gates,10I3CmmwT0BkOVhduDy53o
All In My Head (Flex),Fifth Harmony featuring Fetty Wap,7nD9nN3jord9wWcfW3Gkcm
Starving,Hailee Steinfeld and Grey featuring Zedd,4Ce37cRWvM1vIGGynKcs22
Adventure of a Lifetime,Coldplay,69uxyAqqPIsUyTO8txoP2M
Humble and Kind,Tim McGraw,3Rkk851fZjIsglV2jbBPDd
Wicked,Future,6BbINUfGabVyiNFJpQXn3x
Tiimmy Turner,Desiigner,3NJG6vMH1ZsectZkocMEm0
See You Again,Wiz Khalifa featuring Charlie Puth,2JzZzZUQj3Qff7wapcbKjc
Perfect,One Direction,3NLnwwAQbbFKcEcV8hDItk
